player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Terry Rozier,roziete01,2022,1341,626,2.857370910712642,-.2748369648224315,2.582533945890211,-2.819504147211857,-.8308815001818126,-3.65038564739367,1.775461649576973,-.364126524827896,1.411335124749077,1.322150678442824,1.322150678442824,0,3.172302508274688,-.4047227875337788,2.76757972074091,-.521131374693717
Ricky Rubio,rubiori01,2022,1519,729,.0330774407480306,-.189401248800839,-.1563238080528084,2.581773100492184,3.84847816363024,6.430251264122424,.5789258301842735,.5773478004143996,1.156273630598673,1.466653869460457,1.466653869460457,0,1.029414177804296,1.375390935347862,2.404805113152158,.9489291224244353
D'Angelo Russell,russeda01,2022,1453,686,1.64248767339509,.5670778391850175,2.209565512580108,-.6115092630096168,9.225190324402211,8.613681061392594,1.305104947970916,2.40038283325544,3.705487781226356,2.276916033411906,2.276916033411906,0,1.708371021253049,2.272910378869065,3.981281400122114,.776032259110944
Domantas Sabonis,sabondo01,2022,1815,886,1.147849700340914,1.412143955054209,2.559993655395123,.5307571383332182,4.373054051855781,4.903811190188999,1.083009845258514,2.097673301607535,3.18068314686605,2.689879402779718,2.689879402779718,0,.5509804416175667,3.016233002824714,3.56721344444228,.3357252834900579
Tomas Satoransky,satorto01,2022,651,322,-2.602095049377659,-1.3198927346837,-3.92198778406136,-4.164797694942484,-4.150064422611192,-8.314862117553677,-3.105616682849102,-1.942257669610864,-5.047874352459966,-.3722196072193482,-.3722196072193482,0,-2.568600822185072,-2.140741795792384,-4.709342617977456,-1.401685280921436
Dennis Schroder,schrode01,2022,1635,798,.4635759517453183,-1.338102954655076,-.8745270029097578,-.2664258053577202,.5147559033283327,.2483300979706125,.3448727306874143,-1.042073102569387,-.6972003718819728,.8289380689987755,.8289380689987755,0,-.4502945536251454,-1.006292153023712,-1.456586706648857,-.8191045713708426
Jay Scrubb,scrubja01,2022,108,48,-1.628967712667808,-5.999154301399392,-7.6281220140672,.5731714558987281,.2700490501324462,.8432205060311743,-1.23979273982768,-5.113324719942558,-6.353117459770238,-.0892093773024884,-.0892093773024884,0,-1.756985070020073,-4.866113845844054,-6.623098915864126,1.101098534522119
Wayne Selden,seldewa01,2022,3,1,-9.151855214091311,19.02561857996486,9.873763365873545,-58.21658440126313,19.4024024396268,-38.81418196163632,-20.12590852223137,20.50460835260751,.3786998303761351,.0016471725417534,.0016471725417534,0,-19.60804681567048,19.0025214296479,-.6055253860225811,3.193016009011462
Alperen Sengun,sengual01,2022,862,395,1.223232474994386,1.948251367220095,3.171483842214481,-.0687917486199053,-3.452570971109194,-3.521362719729099,1.12318407259504,.9157766114870054,2.038960684082046,.9835438957012094,.9835438957012094,0,-.6632936723509283,.6355076150531987,-.0277860572977294,1.911774105754853
Collin Sexton,sextoco01,2022,658,316,-2.656568703310596,-1.520564260760582,-4.177132964071179,-6.881044192133554,-2.269225594626343,-9.150269786759896,-3.686096890487625,-1.835401233778883,-5.521498124266508,-.4491782217049972,-.4491782217049972,0,-4.110622854154221,-.9801482689570579,-5.09077112311128,.5261843566271722
Landry Shamet,shamela01,2022,979,455,1.25415583727777,-.8542109106038351,.399944926673935,-3.547364128697086,.2535908380486512,-3.293773290648435,.3119841340666528,-.737655645012933,-.4256715109462802,.539302099529585,.539302099529585,0,.1941796421050041,-1.182593819111897,-.9884141770068923,-.0500680498029061
Day'Ron Sharpe,sharpda01,2022,74,36,2.771429075855107,8.689718656506404,11.46114773236151,-12.22507241748639,14.33421294112152,2.109140523635139,-.2128737870993354,10.34941245111821,10.13653866401888,.2436450085881611,.2436450085881611,0,-.2017786411547962,6.886069406110869,6.684290764956073,2.942013481254957
Pascal Siakam,siakapa01,2022,864,434,-.897718790900685,.1652118636998265,-.7325069272008584,-.2838371020170376,-2.186690657099905,-2.470527759116942,-.825359818008564,-.3036182902754029,-1.128978108283967,.3574225558643342,.3574225558643342,0,.1048940700620574,-.2686986356460745,-.1638045655840172,-.4226057334819367
Anfernee Simons,simonan01,2022,1029,505,1.804823594494218,-2.482979043039024,-.678155448544806,1.554400296797115,2.794494354763629,4.348894651560744,1.829064393890712,-1.497237535349689,.3318268585410233,.7806366047274585,.7806366047274585,0,3.147959067048822,-2.419105133828015,.7288539332208068,-1.689433272485565
Marko Simonovic,simonma01,2022,16,8,-23.64793864745291,30.90395503997256,7.256016392519651,-25.03329427292901,25.15986638149089,.1265721085618878,-25.31677192085109,31.62219459349962,6.305422672648533,.0368165073198637,.0368165073198637,0,-24.03946067218379,18.95215050510991,-5.087310167073877,-.3903424477872324
Jericho Sims,simsje01,2022,114,54,-4.18722894488874,7.32013016810316,3.13290122321442,-10.18555576465319,11.02614068005829,.8405849154051026,-5.761768164128263,8.549100741692033,2.78733257756377,.1521851383378058,.1521851383378058,0,-6.179419447171834,4.29317835177745,-1.886241095394384,-.2446521814186183
Javonte Smart,smartja01,2022,84,38,4.292938020352682,3.36972818266063,7.662666203013312,9.728913356137202,1.079257604318204,10.80817096045541,5.64315431048449,3.029288953384339,8.672443263868828,.2231175945487278,.2231175945487278,0,5.817563245166093,.4484897055148992,6.266052950680991,.7521944338645574
Marcus Smart,smartma01,2022,1699,825,.2320843297163776,1.219709334355993,1.451793664072371,5.012746176484348,.75361041378337,5.766356590267718,1.233417543518564,1.172643127231239,2.406060670749803,2.18879127646308,2.18879127646308,0,.7184515252013671,1.660114604605559,2.378566129806926,.8547112238639101
Dennis Smith Jr.,smithde03,2022,496,232,-1.541499034425449,-.053556032253902,-1.595055066679351,-4.467055826646282,-1.714826660854911,-6.181882487501194,-2.276252759274191,-.3203082499272434,-2.596561009201434,.0184088452335023,.0184088452335023,0,-.7145492001234284,-.3115172822680857,-1.026066482391514,1.360589135724368
